"otsikko","teksti","tahdet","url","kieli"
"placeholder","Miksi kaikki fazerin suklaat eivät ole valittavissa lahjaksi? Näissä neljässä vaihtoehdossa ei ole yhtään meidän perheen suosikkia. Luulisi ainakin pähkinäsuklaalle olevan kysyntää. Tästä syystä jää tämä lahja ostamatta.","1","https://fi.fazer.com/collections/all/products/suunnittele-ja-laheta-lahjaksi-karl-fazer-suklaalevy","fi"
"placeholder","HeiHuomasin vasta ostoskoriin mentyäni, että taustapuolelle voi myös kirjoittaa. Palasin takaisin, enkä huomannut, että samalla vaihtui tuote itsekseen, jota olin tilaamassa. Oli tarkoitus tilata Vanilja-kaakao fudge -suklaalevy. Vaimon avattua paketin hämmästys oli suuri, koska odotin uutuus levyä. Harmittaa, että en tarkastanut uudelleen tuotetta. No ei arvannut, että on niin huonosti toimiva tilaus alusta. Hyvää on kyllä perus sininenkin","3","https://fi.fazer.com/collections/all/products/suunnittele-ja-laheta-lahjaksi-karl-fazer-suklaalevy","fi"
"placeholder","Piti olla yllätys ystävälle...onnittelut ym.  Onko teksti niin pientä ettei normaali ihminen näe sitä. Näin.,että lähtys mennyt perille.......neljän päivän kuluttua kyselin...onko käynyt postilaatikolla Kyllä oli ja ihmetellyt--onko levy joku Fazerin mainos juttu. Tällä rahalla olisin saanut kaupasta kasan levyjä ja viel postimaksunkin. En toiste tilaa.","1","https://fi.fazer.com/collections/all/products/suunnittele-ja-laheta-lahjaksi-karl-fazer-suklaalevy","fi"
"placeholder","Valitettavasti en ollut tyytyväinen. Toimitus oli liian pitkä ja yllätys ei onnistunut ystävälleni. Ja päätekstiä, joka oli erittäin tärkeä ja osa yllätystä, ei painettu. Lopulta sain juuri sinisen klassisen suklaan hintaan 15e! En tilaa enää koskaan.","1","https://fi.fazer.com/collections/all/products/suunnittele-ja-laheta-lahjaksi-karl-fazer-suklaalevy","fi"
"placeholder","Tilasin kaverilleni toiseen kaupunkiin lahjaksi. Viestit lähetyksestä olivat hiukan sekavia, että oliko toimitus nyt varmasti menossa kaverilleni, mutta lopputulos oli kuitenkin onnistunut.","3","https://fi.fazer.com/collections/all/products/suunnittele-ja-laheta-lahjaksi-karl-fazer-suklaalevy","fi"
"placeholder","Huonosti pakattuja keksejä. Toimitetaan erikseen, mikä johtaa rypistyneeseen käärepaperiin ja rikkoutuneisiin suklaanpaloihin. Ostin viisi kappaletta ja odotin niiden tulevan yhdessä paketissa. He olivat kuitenkin sisällyttäneet valitsemamme tekstin,…","3","https://fi.fazer.com/collections/all/products/suunnittele-ja-laheta-lahjaksi-karl-fazer-suklaalevy","fi"
"placeholder","Vieä selvemmin olisi voitu ilmaista, että teksti on irrallisella kääreellä. Olisipa se edes teidän sinistä. Mutta käärepaperin näköistä. Ei ollut hintansa arvoinen. En käytä toisten. Ensi kerralla ostan kaupasta ja tuunaan itse.","3","https://fi.fazer.com/collections/all/products/suunnittele-ja-laheta-lahjaksi-karl-fazer-suklaalevy","fi"
"placeholder","Itse levy oli kiva mutta toimitus meni ystävän lähimpään postin toimituspisteeseen ja hakuaika oli lyhyt, kaveri oli 2,5 viikon Thaimaan matkalla juuri. Ajelin sitten itse viemään paketin perille asti ettei lähtenyt takaisin… Enpä ole ennen suklaalevyn takia ajanut 50-60 km lenkkiä :D","3","https://fi.fazer.com/collections/all/products/suunnittele-ja-laheta-lahjaksi-karl-fazer-suklaalevy","fi"
"placeholder","Kyllä, toimituksen saaminen kesti hetken, enkä ole vaikuttunut ""pikatoimituksesta"", joka kestää viikon Saksasta... 👎🏻","2","https://fi.fazer.com/collections/all/products/suunnittele-ja-laheta-lahjaksi-karl-fazer-suklaalevy","fi"
"placeholder","Suunniteltu käärre olikin vain lisä-sliiveri suklaalevylle, mikä tekee palvelusta mielestäni ylihinnoitellun. Lisäksi takaosan merkkimäärä oli todella pieni, vaikka lisäsliiverissä olisi paljon enemmän tilaa.","3","https://fi.fazer.com/collections/all/products/suunnittele-ja-laheta-lahjaksi-karl-fazer-suklaalevy","fi"
